,EXT1,EXT2,EXT3,EXT4,EXT5,EXT6,EXT7,EXT8,EXT9,EXT10,EST1,EST2,EST3,EST4,EST5,EST6,EST7,EST8,EST9,EST10,AGR1,AGR2,AGR3,AGR4,AGR5,AGR6,AGR7,AGR8,AGR9,AGR10,CSN1,CSN2,CSN3,CSN4,CSN5,CSN6,CSN7,CSN8,CSN9,CSN10,OPN1,OPN2,OPN3,OPN4,OPN5,OPN6,OPN7,OPN8,OPN9,OPN10,Cluster
2149,3,2,4,2,4,2,3,3,3,2,4,2,3,4,4,3,4,4,4,2,4,4,2,4,2,2,4,3,4,4,2,3,4,2,2,3,3,3,3,3,3,1,4,2,4,2,4,2,4,4,3
2150,2,2,2,5,1,5,4,3,5,1,5,2,5,4,2,4,5,3,3,4,2,4,1,5,3,5,4,5,5,5,4,3,4,5,2,3,4,1,3,4,1,1,5,3,4,1,5,1,5,4,3
2151,3,3,3,3,3,4,5,5,1,4,3,5,5,1,3,2,1,2,3,1,1,2,1,5,2,5,1,5,5,5,0,3,4,1,1,1,5,2,5,5,4,3,5,2,4,1,3,1,3,3,2
2152,2,3,5,4,3,2,2,4,2,4,2,5,4,4,2,1,3,4,3,2,1,4,1,5,2,4,2,5,5,5,2,3,4,3,2,4,3,3,3,3,3,3,4,3,3,2,4,3,4,3,2
2153,1,3,3,3,3,3,2,1,3,5,3,3,5,3,3,4,5,5,3,3,3,5,1,5,1,4,3,3,5,3,5,1,5,1,2,2,3,1,5,3,2,3,5,1,5,1,3,1,3,5,3
2154,2,5,2,5,3,3,2,5,1,5,3,4,4,1,3,3,4,5,5,5,2,0,1,5,2,4,1,2,4,3,2,2,4,3,2,3,4,4,3,5,3,2,3,1,5,4,3,4,5,5,1
2155,3,1,5,5,5,1,5,1,4,2,3,5,5,3,3,5,1,1,2,3,5,4,2,5,1,5,1,3,5,4,5,5,3,4,2,5,3,3,3,4,5,2,4,1,4,1,4,4,4,4,3
2156,3,2,4,2,5,1,3,2,4,1,4,5,3,5,2,3,3,3,4,2,1,5,2,5,1,5,1,4,5,4,4,2,5,1,3,2,4,3,4,4,5,2,5,2,4,1,4,5,4,5,0
2157,5,1,5,2,5,5,5,2,4,3,1,3,3,3,3,1,3,1,1,3,2,5,1,5,4,3,3,5,5,5,4,3,4,2,3,1,3,4,3,4,5,1,5,1,5,1,5,4,5,5,0
2158,3,1,4,5,3,2,1,4,3,2,2,2,3,2,2,1,3,3,4,3,3,3,4,3,2,3,3,3,3,3,3,2,3,2,3,2,5,3,3,3,3,3,5,1,4,2,3,3,3,0,2
2159,2,2,2,4,3,1,3,1,4,3,4,2,4,2,3,3,5,4,4,4,4,5,4,3,2,4,2,3,4,2,1,5,3,5,1,5,1,5,1,3,4,2,4,1,4,1,3,4,5,4,3
2160,2,3,3,3,3,2,2,3,3,3,5,2,5,5,5,0,5,4,4,3,1,3,2,5,5,4,2,4,5,3,5,2,5,2,5,1,5,2,4,4,4,3,4,2,4,2,0,4,4,3,3
2161,1,5,2,5,2,1,1,5,1,5,5,1,5,2,1,4,5,5,4,5,3,3,5,3,2,2,2,2,2,2,4,2,4,2,1,3,5,4,1,5,4,2,3,1,4,2,2,4,5,5,1
2162,5,2,4,2,4,1,5,2,4,3,2,4,3,2,4,2,2,2,2,2,1,5,3,5,1,3,1,5,4,3,3,3,4,3,3,1,3,1,1,3,4,1,5,2,3,1,5,4,4,4,0
2163,3,3,4,4,2,3,1,4,2,5,4,4,5,1,3,3,5,4,2,5,1,5,1,5,1,5,1,4,5,4,2,4,5,3,2,2,4,3,2,3,3,1,5,1,3,1,4,3,5,4,3
2164,4,2,4,2,4,2,5,2,4,2,2,5,2,3,3,2,2,1,2,1,3,4,1,3,2,3,2,3,3,3,4,1,4,2,3,2,3,3,3,3,3,2,3,2,3,2,4,2,3,4,0
2165,4,3,3,2,3,4,3,3,4,4,4,2,4,3,3,3,2,3,3,3,1,5,1,5,1,5,1,0,5,5,0,3,2,4,2,3,3,1,4,4,3,3,4,3,4,3,3,3,5,4,3
2166,1,0,4,5,2,2,1,5,3,3,5,3,5,4,1,4,5,5,4,4,2,5,1,5,1,5,2,5,5,4,3,5,5,2,3,5,4,3,5,5,1,5,3,3,3,1,3,1,5,5,3
2167,2,2,2,4,1,4,2,4,2,2,2,1,3,3,5,2,4,2,4,3,2,3,3,3,3,3,3,3,3,4,2,5,2,3,2,4,4,4,2,3,4,1,4,2,4,2,5,4,4,5,1
2168,3,5,2,5,2,5,3,4,3,5,3,3,3,3,3,2,3,2,4,3,4,4,5,2,4,2,4,2,2,3,5,2,5,3,4,3,4,3,4,4,3,3,4,4,5,1,3,3,3,5,2
2169,5,4,3,3,3,3,3,3,3,2,4,2,4,3,4,4,4,4,2,4,2,3,2,5,2,4,3,4,4,4,3,4,2,4,1,5,2,5,1,2,4,2,4,1,3,2,3,3,5,3,3
2170,1,5,2,5,2,5,2,5,4,5,3,2,5,3,4,4,5,4,4,4,1,2,4,5,2,5,4,5,5,4,2,1,5,5,2,2,5,3,4,3,4,3,5,3,3,4,4,4,5,3,1
2171,3,2,4,3,4,2,2,3,2,3,1,3,3,3,3,5,3,2,1,1,1,4,1,5,2,4,2,4,5,4,5,2,5,1,4,3,4,1,3,4,5,1,5,1,5,1,5,2,5,5,0
2172,4,2,5,2,5,1,5,3,4,2,4,3,5,3,4,4,4,4,4,2,1,5,3,5,1,4,1,5,5,4,4,2,4,2,5,1,4,2,5,4,4,2,5,2,4,1,4,4,3,4,3
2173,3,2,2,3,4,4,2,4,2,4,2,2,5,3,4,3,4,4,4,2,4,2,4,4,3,4,3,4,3,3,2,5,3,4,2,4,4,3,2,4,1,4,2,4,2,4,2,2,2,3,1
2174,2,2,2,3,4,1,2,4,2,4,5,3,5,3,4,5,4,4,4,2,2,4,2,4,2,5,2,4,4,3,2,5,5,5,1,5,4,4,2,4,4,2,5,1,5,2,5,3,3,4,3
2175,2,2,5,3,4,2,4,3,4,3,2,4,3,4,4,3,2,2,2,2,2,4,1,4,2,5,2,4,4,2,5,2,4,2,2,2,4,2,4,5,5,1,5,1,4,2,5,4,5,4,0
2176,1,5,2,4,3,3,2,5,1,5,2,2,4,2,2,2,2,3,1,4,2,5,1,4,1,4,2,4,4,4,4,5,4,4,1,4,3,1,1,3,4,1,5,1,3,1,5,3,4,4,2
2177,1,4,2,4,2,1,1,4,2,5,2,4,3,3,1,3,3,2,3,3,2,4,1,5,2,3,1,2,5,3,2,4,4,4,1,4,2,3,2,2,4,2,4,1,4,2,4,4,4,4,2
2178,2,3,2,4,2,2,1,4,2,5,2,4,3,1,3,3,3,2,3,2,1,4,1,5,2,4,3,4,4,4,3,5,4,3,2,4,2,1,2,3,5,2,5,1,4,1,4,4,4,4,2
2179,1,4,3,4,3,3,1,2,3,4,4,3,4,2,3,3,2,3,4,4,2,4,4,4,3,3,2,3,3,3,2,4,4,4,2,5,4,2,2,3,5,2,5,2,5,5,3,4,4,5,1
2180,3,2,2,3,4,1,3,2,3,4,5,2,5,1,2,5,4,4,4,5,1,4,1,5,1,5,2,4,5,5,1,4,4,4,1,4,4,4,2,4,4,1,5,1,4,1,2,3,5,5,3
2181,1,4,1,4,2,1,1,5,1,5,5,2,5,1,5,2,5,5,5,5,4,2,4,2,4,5,4,4,4,4,1,5,1,5,1,5,1,5,1,1,5,1,5,1,5,1,5,5,5,5,1
2182,1,3,3,3,2,2,1,3,3,5,5,2,4,2,4,4,5,4,4,2,2,4,1,4,3,5,2,3,4,3,5,2,5,2,1,2,5,1,4,2,4,1,4,1,4,1,5,3,4,4,1
2183,3,3,3,3,2,4,2,4,2,4,2,4,4,4,4,3,3,3,3,2,3,5,3,4,4,3,3,3,4,3,2,3,4,3,3,3,4,3,4,4,4,1,4,2,5,2,5,4,4,5,2
2184,2,5,4,5,4,5,2,5,1,4,2,4,2,4,1,1,1,1,1,1,2,5,1,3,4,3,3,4,4,5,3,4,4,4,1,5,2,4,4,1,4,1,4,1,4,1,4,4,4,4,2
2185,4,1,4,2,5,2,3,2,4,2,4,2,5,2,2,1,2,2,2,2,1,5,2,5,4,4,1,5,5,4,4,4,4,4,2,2,4,4,4,2,4,3,5,1,3,1,3,4,5,5,0
2186,3,3,4,3,4,2,4,3,3,3,3,5,4,3,2,2,2,2,2,2,5,5,1,5,1,4,1,4,4,4,2,5,2,4,2,5,2,2,3,2,5,1,4,1,4,2,4,4,5,4,0
2187,4,2,5,2,5,1,4,1,5,2,2,4,3,5,2,1,1,2,2,1,4,5,1,4,2,4,2,3,5,4,3,5,4,5,2,2,4,3,2,4,5,2,5,1,5,1,5,4,3,5,0
2188,3,3,2,4,3,2,3,4,3,3,3,4,4,3,3,2,3,3,2,3,4,2,4,2,5,4,5,4,3,4,4,2,4,3,3,4,3,2,4,4,3,3,5,3,4,2,4,2,2,4,2
2189,3,3,3,3,4,3,2,4,3,3,3,3,4,4,3,2,2,1,4,1,2,4,3,3,2,3,2,3,4,5,4,5,3,4,1,4,3,2,2,2,5,1,4,1,5,1,4,4,5,5,3
2190,4,2,2,3,4,2,4,4,1,4,2,3,4,2,5,4,2,2,2,5,1,4,1,5,1,5,2,4,5,3,1,5,4,4,1,5,4,4,2,4,5,2,5,1,4,2,3,3,5,3,3
2191,3,1,5,2,5,1,5,3,4,1,2,5,3,5,1,1,3,1,2,1,1,5,1,4,1,3,1,5,3,5,4,5,5,5,1,5,1,2,1,4,5,1,5,1,5,5,5,5,5,5,0
2192,4,2,5,2,5,1,5,3,4,3,3,3,4,4,3,2,1,1,2,1,2,5,2,5,3,4,1,4,4,4,5,2,5,1,5,1,5,1,4,5,3,2,5,1,5,1,4,3,4,5,0
2193,1,5,5,5,3,3,2,5,1,5,2,4,1,3,1,1,1,1,1,1,1,3,1,5,1,3,1,4,5,5,5,3,5,3,2,2,3,1,4,5,4,1,5,1,5,1,5,1,5,5,2
2194,1,2,2,4,3,2,1,5,1,5,4,2,4,4,1,3,1,1,2,3,1,4,1,5,1,5,2,5,4,3,4,4,5,1,4,5,4,1,4,3,5,1,4,1,3,1,5,5,1,4,2
2195,2,4,3,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2
2196,2,3,2,5,2,4,2,5,1,4,5,3,5,2,3,4,3,3,3,3,5,4,1,5,1,4,3,5,4,3,3,5,4,5,2,5,3,3,3,3,2,3,5,5,4,2,2,1,3,4,1
2197,5,1,5,1,5,1,5,1,5,1,2,5,2,1,1,1,2,1,3,1,1,5,2,4,1,3,1,3,5,5,4,1,3,2,1,3,1,3,3,3,3,1,5,1,5,1,5,1,5,5,0
2198,4,2,3,2,4,2,4,2,5,3,4,2,4,3,2,3,3,2,2,2,2,5,2,5,2,5,2,3,5,5,4,3,5,2,2,3,2,3,4,4,5,1,5,2,4,1,4,3,4,5,0
2199,5,1,5,1,5,1,5,3,5,3,5,3,3,5,5,0,2,1,1,1,1,5,1,5,3,5,1,5,4,4,3,3,3,2,3,4,3,3,3,3,2,4,5,5,4,1,3,1,5,4,0
2200,1,4,1,4,2,3,1,5,1,5,3,3,4,4,4,2,3,3,4,4,2,3,2,4,2,3,3,4,3,3,4,2,4,2,4,2,4,2,4,4,4,2,3,3,3,2,4,3,4,3,2
2201,2,3,2,3,2,2,2,3,4,4,4,4,4,3,2,4,4,4,4,4,2,3,2,3,3,2,3,3,3,3,3,4,3,2,2,4,4,4,2,3,4,3,4,4,4,1,3,4,5,4,1
2202,4,1,4,3,5,3,5,1,5,2,2,4,5,5,3,5,5,5,5,5,5,4,5,4,1,5,2,4,4,4,3,1,5,3,2,5,5,4,1,4,5,1,5,2,5,1,5,5,5,5,3
2203,3,3,4,3,5,3,4,3,4,3,5,2,5,2,4,4,4,4,5,3,1,3,1,5,1,5,2,5,4,3,4,1,4,2,4,2,5,3,4,4,3,2,4,2,4,2,4,2,5,4,3
2204,1,5,3,5,2,3,1,5,1,5,3,4,4,4,5,1,3,1,3,1,2,3,3,2,2,3,3,4,4,0,5,1,5,1,5,1,5,1,5,2,3,3,3,3,5,3,4,3,4,3,2
2205,2,3,5,4,2,1,2,5,1,5,5,4,5,2,1,1,4,4,3,4,1,4,3,5,1,5,1,4,4,4,4,3,4,2,2,2,5,2,4,4,5,2,4,1,4,1,4,5,4,5,3
2206,3,3,3,4,3,3,3,5,2,5,3,4,4,3,2,2,2,2,4,3,2,3,3,4,2,5,2,4,0,3,4,1,4,2,1,4,4,2,2,3,3,2,3,3,4,3,5,3,4,4,2
2207,2,3,5,4,3,2,2,4,2,2,3,3,5,2,3,2,2,2,1,4,1,5,1,5,1,5,1,5,5,5,3,2,5,2,3,2,4,1,3,3,5,1,5,1,5,1,5,5,5,5,0
2208,2,4,2,5,1,1,1,4,1,5,4,1,5,1,5,5,5,0,5,4,2,4,4,5,2,5,2,3,5,2,2,5,5,4,1,5,4,3,4,3,4,1,5,3,5,1,5,4,5,5,1
2209,3,2,4,4,4,2,3,4,3,2,2,4,4,5,1,1,1,1,1,1,2,5,1,3,2,4,2,4,4,5,4,2,3,2,3,1,5,1,5,4,4,1,5,1,5,1,5,4,5,5,0
2210,3,3,3,4,3,3,3,5,2,4,3,4,2,3,1,2,2,2,2,2,4,3,3,4,3,2,4,3,5,3,2,3,4,3,2,2,3,3,3,3,3,2,4,4,3,2,3,2,4,3,2
2211,5,1,5,2,5,5,5,1,5,1,4,3,4,5,2,3,2,2,2,1,1,4,1,5,1,4,1,5,5,5,3,2,4,1,3,2,4,2,3,4,4,2,5,3,5,1,5,3,4,5,0
2212,2,3,2,3,2,1,3,3,4,4,4,2,4,1,2,3,4,3,3,4,1,4,1,5,1,5,2,4,5,5,2,2,5,3,2,3,3,3,3,3,5,2,5,1,4,1,4,4,5,4,3
2213,2,2,3,3,3,3,2,4,4,3,3,3,3,3,3,1,3,2,1,2,1,4,2,4,2,4,2,4,4,3,4,3,5,1,4,2,5,2,4,4,2,2,3,1,4,2,4,3,4,4,2
2214,2,5,3,4,2,4,3,3,3,4,2,4,2,2,3,2,3,2,4,3,2,3,3,2,4,4,4,4,2,4,3,2,3,2,3,2,4,3,3,3,3,2,4,3,4,2,4,2,2,4,2
2215,5,2,5,4,5,3,5,4,3,1,4,4,4,5,1,1,2,1,1,1,5,5,1,5,1,5,1,5,5,5,4,4,4,3,3,2,3,3,3,3,0,3,4,3,5,1,3,3,4,5,0
2216,2,5,3,3,3,4,2,5,3,5,5,4,5,3,3,3,4,2,5,5,3,5,3,5,3,5,3,3,5,3,3,5,5,3,2,5,3,3,2,4,4,4,5,4,3,1,4,2,5,4,1
2217,4,1,4,1,5,1,5,2,5,1,4,3,5,1,4,4,4,4,4,4,1,4,1,5,2,5,2,5,5,5,2,5,4,4,1,5,1,4,2,3,5,2,5,1,5,1,5,4,5,5,3
2218,4,4,3,4,4,2,5,3,3,3,3,4,2,3,2,2,3,2,3,3,2,5,2,4,3,3,2,2,4,4,3,4,2,4,3,3,2,2,3,3,5,2,5,3,5,1,5,5,4,5,0
2219,3,1,4,1,4,1,3,3,4,2,1,5,1,5,1,1,1,1,1,1,1,4,1,4,2,5,1,4,4,5,4,4,5,2,2,3,4,1,4,5,5,1,5,1,5,1,5,4,4,5,0
2220,1,5,1,5,1,5,1,5,1,5,4,4,4,2,2,2,4,2,2,3,1,4,2,4,2,4,4,5,4,4,4,2,4,2,4,1,4,2,4,3,2,2,1,4,1,5,4,2,4,1,2
2221,3,3,2,2,2,3,1,5,1,2,1,4,3,4,4,4,2,1,3,1,4,2,2,2,3,4,3,2,3,4,4,3,4,1,3,1,4,3,4,2,5,3,5,2,2,2,4,5,3,3,2
2222,3,3,2,4,4,4,1,2,4,4,5,0,5,3,5,5,5,5,4,5,4,1,1,5,1,5,2,1,4,4,5,4,5,4,3,5,1,1,4,1,4,1,4,3,4,4,5,2,3,2,1
2223,1,5,2,5,1,4,1,5,1,5,4,4,5,4,3,3,2,1,2,2,1,4,1,5,2,4,2,5,5,4,4,3,4,2,3,2,4,1,4,4,4,2,4,2,3,2,4,4,5,2,2
2224,1,3,2,3,2,3,1,5,1,5,5,1,5,3,4,3,5,5,4,4,2,3,3,3,3,3,3,4,3,3,4,1,4,2,4,3,5,1,4,4,1,2,5,0,3,3,4,3,5,3,1
2225,5,3,4,3,4,2,4,3,4,4,5,2,5,3,0,5,3,3,3,2,4,4,1,2,3,5,3,3,4,4,4,2,3,3,3,4,4,3,4,3,0,3,3,3,3,4,4,4,4,3,3
2226,1,5,3,5,1,5,2,5,1,5,2,2,5,1,5,5,4,5,5,5,1,5,2,5,2,5,2,3,4,3,2,5,5,3,1,5,1,2,1,3,4,5,5,1,4,5,5,1,5,4,1
2227,4,3,3,3,4,3,4,1,5,3,4,3,5,0,3,2,2,2,2,2,5,5,4,4,1,2,2,4,5,2,4,2,3,3,2,3,4,5,2,3,2,3,3,3,4,3,5,2,3,3,3
2228,1,5,4,5,3,5,1,4,5,5,5,2,5,3,5,5,5,5,5,3,3,3,4,4,4,5,4,3,4,3,4,1,4,1,5,3,5,3,5,3,2,4,5,4,4,1,4,1,5,5,1
2229,2,1,4,5,4,2,4,2,2,2,4,2,5,2,4,4,3,1,2,3,1,5,2,5,5,4,1,4,3,4,2,1,4,3,3,2,3,2,2,3,4,2,5,2,4,2,3,3,4,5,3
2230,4,2,2,3,3,2,2,2,4,4,1,3,2,3,1,2,3,2,1,2,2,3,3,5,1,3,2,4,5,2,5,5,5,2,1,5,3,2,3,3,5,1,5,1,5,1,5,4,5,5,0
2231,4,1,4,1,5,1,5,3,4,2,5,4,3,4,1,1,2,2,4,1,4,4,1,2,3,2,3,4,1,4,1,5,3,3,1,5,4,5,1,2,3,1,5,1,5,1,5,4,5,5,0
2232,5,1,5,1,5,1,5,1,4,1,3,4,2,5,1,1,1,1,1,1,1,5,1,4,1,5,1,4,4,4,0,3,4,1,1,3,1,4,1,4,3,1,5,1,5,1,4,3,1,5,0
2233,4,2,3,4,4,2,3,4,4,4,3,2,3,2,4,3,3,4,4,4,4,5,4,3,2,2,2,4,3,3,4,5,5,4,2,5,4,4,2,2,4,1,4,1,5,1,3,4,4,5,3
2234,2,2,5,4,5,2,5,4,4,2,1,5,3,3,5,3,4,3,3,2,2,5,2,5,2,5,2,5,5,5,3,5,3,5,1,5,4,4,1,3,4,2,5,2,5,0,5,2,2,5,3
2235,5,1,4,1,4,1,4,2,4,2,3,2,4,4,4,4,3,3,2,2,2,5,3,4,2,4,2,4,4,4,2,5,4,3,2,5,3,4,2,4,4,2,4,3,4,2,4,3,2,3,3
2236,2,2,2,3,3,2,4,5,2,5,3,0,4,3,4,2,3,2,3,4,1,3,2,5,4,4,3,4,4,3,3,1,5,1,2,4,2,4,4,4,3,2,5,1,4,1,3,2,5,4,1
2237,4,5,4,4,3,3,4,3,3,4,3,4,4,2,3,3,2,1,3,2,5,4,2,4,2,5,2,3,4,4,4,2,4,2,3,2,3,1,4,4,3,3,4,3,4,2,4,3,5,3,2
2238,4,3,2,5,1,2,2,5,1,5,5,4,4,2,5,2,5,5,5,1,1,4,1,4,2,4,2,5,2,3,4,1,5,3,2,4,4,2,4,3,3,2,4,4,3,2,4,3,1,4,1
2239,1,4,3,4,2,4,1,5,1,4,4,5,4,4,2,4,2,1,4,1,3,4,1,3,1,3,2,4,2,4,4,2,2,1,2,1,5,1,5,4,1,4,4,2,4,2,4,1,4,5,2
2240,3,3,3,4,3,4,3,4,3,5,4,3,5,3,4,3,5,2,3,1,1,4,1,3,3,4,4,4,4,4,4,1,5,2,4,2,3,2,4,4,4,3,5,2,5,1,4,3,5,5,2
2241,3,3,5,1,4,5,2,5,3,5,1,4,5,3,1,1,3,1,1,1,5,3,1,5,1,4,1,5,5,5,3,5,5,5,1,4,3,1,3,5,3,1,5,1,3,1,5,1,1,3,0
2242,4,1,5,2,4,1,5,3,3,2,2,4,4,5,2,1,2,2,2,1,1,5,1,5,1,5,0,4,5,5,4,2,4,2,2,2,4,2,4,2,5,1,5,1,5,1,4,4,5,5,0
2243,1,3,3,4,4,2,2,2,4,3,3,1,4,3,2,2,2,1,1,3,1,4,1,5,2,0,2,4,2,2,4,3,4,1,3,4,5,2,3,5,5,1,1,1,3,2,4,5,5,4,2
2244,4,2,4,1,3,2,4,1,4,3,4,4,4,4,2,2,2,2,2,1,1,4,2,5,2,5,3,4,4,4,3,3,5,2,1,1,5,1,3,4,4,2,4,2,4,1,4,4,4,4,0
2245,2,5,2,3,2,5,1,4,4,5,5,3,4,3,3,2,1,2,4,2,1,2,3,2,5,5,4,3,2,2,4,3,5,3,2,3,5,4,3,5,3,2,1,4,4,5,4,3,2,3,2
2246,4,3,3,3,4,1,4,3,3,3,3,2,4,2,1,3,1,1,3,2,1,4,3,4,1,3,2,5,4,4,4,2,4,3,4,2,4,1,4,3,5,1,5,1,4,1,5,5,5,5,0
2247,1,2,5,3,5,2,4,5,1,4,5,2,5,1,3,3,1,1,1,1,1,5,1,5,1,5,1,1,5,5,3,5,5,3,5,1,5,1,5,5,2,2,5,3,5,1,3,1,3,5,0
2248,1,4,5,4,3,2,1,4,4,4,2,4,5,1,4,2,4,2,2,4,1,5,2,5,1,4,2,4,3,4,2,4,3,4,1,4,2,4,2,3,3,1,5,1,3,1,4,2,5,4,3
2249,3,3,3,4,2,4,4,5,1,4,3,1,4,4,4,1,2,2,5,4,4,2,4,2,4,2,3,3,1,4,5,1,5,2,2,1,4,4,5,4,5,1,4,2,3,1,4,4,4,3,2
2250,4,1,4,1,5,1,5,4,4,2,3,3,4,3,4,3,3,4,2,2,1,5,1,5,1,5,1,5,5,5,4,1,4,3,2,3,2,2,3,4,3,2,2,1,2,3,4,3,5,3,0
2251,1,5,1,5,1,2,1,5,1,5,4,2,4,2,3,4,4,4,4,3,2,5,4,4,1,4,1,2,5,1,2,5,2,5,1,5,4,5,4,5,3,1,4,1,4,2,4,2,5,5,1
2252,3,2,3,2,4,3,4,2,4,3,4,3,5,3,3,4,4,4,4,3,2,4,2,4,4,4,2,4,4,4,2,4,2,4,2,4,3,0,3,2,3,4,4,3,2,3,2,2,4,3,3
2253,1,5,1,5,1,3,1,3,1,5,5,5,5,1,5,5,5,5,5,5,5,1,1,5,3,5,5,1,5,3,1,1,5,5,1,1,5,1,3,3,1,1,3,1,3,1,3,1,5,3,1
2254,4,1,5,1,4,1,3,2,4,3,3,2,3,2,2,2,3,3,3,4,2,5,3,4,2,3,1,4,4,4,4,4,4,2,3,4,4,2,3,3,5,1,5,1,5,1,4,5,5,5,0
2255,2,2,3,4,5,2,2,2,4,3,4,2,4,4,4,4,3,2,3,2,1,5,1,5,2,4,1,4,5,4,3,4,4,2,3,4,4,2,2,5,5,2,4,2,3,2,4,4,5,4,3
2256,4,2,4,2,3,1,4,2,4,4,2,4,2,3,2,2,2,1,2,1,2,5,2,4,2,4,2,2,4,4,3,4,2,1,3,2,4,2,2,4,4,2,5,1,3,1,4,2,5,4,0
2257,1,5,1,5,1,1,1,5,1,5,1,5,5,1,1,5,1,1,5,5,1,5,5,2,1,5,1,5,3,5,3,5,5,5,0,5,5,1,5,5,5,1,5,1,5,1,5,5,5,5,1
2258,3,4,4,2,4,1,1,1,3,2,4,4,4,4,4,3,3,2,2,2,1,4,1,5,4,4,1,4,4,4,5,5,5,2,5,1,3,1,5,4,5,2,5,2,5,1,5,4,4,5,0
2259,1,3,2,5,3,2,1,5,1,5,4,3,5,1,4,3,3,1,4,4,1,2,1,5,4,4,4,5,4,3,4,1,5,3,3,1,5,1,4,5,4,1,3,1,4,4,4,4,4,3,1
2260,2,5,1,4,1,4,2,1,2,3,4,2,4,1,4,4,3,3,4,5,4,4,2,4,4,4,4,3,3,2,3,1,4,2,4,4,4,2,4,4,4,3,3,3,3,3,3,2,4,3,1
2261,2,2,4,4,4,2,5,4,4,4,2,4,4,4,1,2,2,2,2,2,2,4,1,5,1,4,2,5,5,5,4,2,5,2,3,3,4,1,4,5,4,1,4,1,5,1,5,5,5,5,0
2262,1,5,1,5,1,5,1,5,2,5,3,3,4,2,5,5,4,4,4,4,5,1,5,1,5,1,5,2,1,1,2,4,4,4,2,5,4,4,2,5,4,3,2,3,2,5,4,4,5,1,1
2263,3,4,3,2,3,2,1,3,2,4,4,2,4,1,4,4,4,4,5,5,1,5,3,4,2,4,2,2,4,4,2,2,2,2,3,2,3,2,4,4,5,1,5,1,5,1,5,5,5,5,3
2264,1,5,3,4,1,4,1,5,1,4,4,3,4,2,4,2,1,1,2,3,3,3,1,3,4,3,4,3,5,4,4,1,5,1,4,2,4,1,4,4,4,1,5,1,3,1,4,3,5,4,2
2265,3,3,3,1,5,5,5,3,5,1,3,4,5,1,1,4,5,3,1,4,2,3,1,4,1,5,3,5,4,4,1,5,1,5,1,5,3,1,5,3,5,1,5,1,5,1,5,3,1,5,3
2266,3,1,3,2,5,2,4,2,3,3,5,1,5,1,4,4,4,4,4,5,3,4,2,3,0,3,3,3,3,3,2,3,3,3,4,2,4,2,1,3,5,1,4,1,4,2,4,0,4,4,3
2267,2,1,4,3,5,2,3,3,4,1,1,5,1,2,1,3,5,4,4,3,5,4,5,1,5,1,0,1,1,5,2,2,5,2,2,1,4,3,2,4,5,1,1,1,5,5,5,5,2,5,2
2268,4,1,3,3,3,2,4,2,4,3,4,2,5,1,1,4,5,5,4,5,1,5,5,5,1,3,1,4,5,2,0,5,3,4,2,3,3,2,3,3,2,1,5,1,5,1,2,2,5,5,3
2269,5,1,5,1,5,1,5,1,5,1,2,2,2,1,4,2,4,3,5,4,2,5,1,4,1,2,1,3,3,4,3,3,4,3,2,2,5,1,1,4,5,2,3,2,5,1,5,4,4,5,0
2270,2,4,4,4,4,1,2,3,4,4,4,4,5,3,2,3,2,2,2,3,4,4,1,3,2,4,2,4,4,4,4,2,4,2,1,1,4,2,2,4,5,2,5,2,4,1,5,3,5,5,2
2271,2,2,4,3,2,1,2,4,2,5,4,2,5,1,4,4,3,4,4,3,1,4,2,4,1,5,2,4,5,3,2,3,4,4,1,4,5,4,2,5,4,1,4,1,5,2,5,5,5,4,3
2272,3,2,4,3,3,2,2,4,4,4,5,3,5,4,1,4,3,1,4,1,1,3,1,3,3,5,2,5,3,1,4,4,5,2,2,2,3,2,4,3,1,3,5,2,3,1,4,1,4,3,2
2273,3,2,3,3,4,2,3,3,3,4,3,3,4,1,2,2,2,1,2,1,2,4,2,5,2,4,3,4,5,4,4,4,4,3,4,2,4,3,3,2,4,2,4,4,3,2,4,4,5,3,0
2274,3,3,4,3,5,1,5,3,4,2,2,3,4,2,1,2,2,2,4,1,3,4,5,3,3,4,2,3,4,4,3,4,4,2,1,5,3,1,3,5,4,2,4,1,3,1,4,3,4,5,0
2275,1,5,2,5,2,2,2,5,4,5,2,4,5,1,2,1,2,2,1,5,2,2,2,3,5,2,4,2,2,1,3,2,4,4,1,5,5,4,1,3,4,1,5,1,5,1,4,3,5,5,2
2276,2,3,3,4,3,2,2,4,3,4,2,4,2,4,2,2,1,1,2,2,2,4,2,3,2,2,2,3,3,4,5,2,5,1,3,1,3,2,4,5,5,1,4,2,4,2,5,3,4,5,2
2277,3,3,4,3,3,2,3,4,3,4,1,5,2,5,1,1,1,1,1,1,1,4,1,5,1,4,1,4,4,4,4,2,4,1,4,1,4,1,5,4,5,2,4,1,5,1,5,5,4,5,0
2278,1,2,3,2,4,1,4,3,2,4,4,2,5,1,3,2,2,2,4,5,1,4,1,4,2,3,2,4,4,4,4,1,5,1,5,1,5,1,5,5,5,1,5,1,4,1,5,5,5,5,0
